pattern,classification,rc_status,m63_3_decision
INPUT.POLICY,schema_pattern_or_subflow,usable in APF rc.1; candidate for future generic schema support,keep APF-local / schema convention; no core opcode
OUTPUT.CANDIDATE.CATALOG,documentation/schema pattern,APF-local now; candidate for standard module pattern,document; no runtime promotion
TERMINAL.OUTPUT.BIND,APF subflow / possible future IR concept,keep APF-local for rc.1,future review only
TREE.AUTHOR.PROGRESSIVE,APF workflow pattern,reusable applied-module authoring pattern,document; not core opcode
NODE.REVIEW,applied-module review pattern,document and test in APF; future generic review layer candidate,document; no IR promotion
BRANCH.REVIEW,applied-module review pattern,document and test in APF; future generic review layer candidate,document; no IR promotion
SUBTREE.REVIEW,applied-module review pattern,document and test in APF; future generic review layer candidate,document; no IR promotion
TREE.NORMALIZE,adapter pattern,APF-local; useful for future import utilities,APF-local; future utility candidate
DIALOGUE.EXTRACT,AI-assisted extraction pattern,APF-local; not deterministic enough for opcode,APF-local; do not make deterministic opcode
TEMPLATE.RECIPE,template authoring pattern,strong candidate for standard template-layer docs,standard docs candidate
TEMPLATE.MOCK_RENDER,validation/review pattern,strong candidate for CLI/template tooling later,future tooling candidate
VALIDATION.HANDOFF.TAIL,reusable applied-module tail,document as standard pattern; do not hardcode into core,standard applied-module pattern
FLOW.JOIN,future IR candidate,backlog; current YAML can express joins but not canonically,future IR backlog only
SHARED.TAIL.REFERENCE,future IR candidate,backlog; reusable subflow references need stable semantics,future IR backlog only
