test_case_id,representation_id,representation,run_id,executor_model,evaluator_model,relation,different_chat,different_model,cryptographically_verified,verification_level,provenance_file
TC03-EX02,yaml_playbook,YAML Playbook,RUN_01,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/yaml_playbook/confirmed_runs/RUN_01/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,yaml_playbook,YAML Playbook,RUN_02,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/yaml_playbook/confirmed_runs/RUN_02/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,yaml_playbook,YAML Playbook,RUN_03,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/yaml_playbook/confirmed_runs/RUN_03/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,yaml_playbook,YAML Playbook,RUN_04,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/yaml_playbook/confirmed_runs/RUN_04/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,yaml_playbook,YAML Playbook,RUN_05,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/yaml_playbook/confirmed_runs/RUN_05/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,structured_instructions,Structured Instructions,RUN_01,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/structured_instructions/alpha_1_3_0_external_runs/RUN_01/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,structured_instructions,Structured Instructions,RUN_02,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/structured_instructions/alpha_1_3_0_external_runs/RUN_02/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,structured_instructions,Structured Instructions,RUN_03,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/structured_instructions/alpha_1_3_0_external_runs/RUN_03/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,structured_instructions,Structured Instructions,RUN_04,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/structured_instructions/alpha_1_3_0_external_runs/RUN_04/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,structured_instructions,Structured Instructions,RUN_05,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/structured_instructions/alpha_1_3_0_external_runs/RUN_05/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,mixed_accumulated_instructions,Mixed Accumulated Instructions,RUN_01,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/mixed_accumulated_instructions/alpha_1_3_0_external_runs/RUN_01/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,mixed_accumulated_instructions,Mixed Accumulated Instructions,RUN_02,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/mixed_accumulated_instructions/alpha_1_3_0_external_runs/RUN_02/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,mixed_accumulated_instructions,Mixed Accumulated Instructions,RUN_03,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/mixed_accumulated_instructions/alpha_1_3_0_external_runs/RUN_03/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,mixed_accumulated_instructions,Mixed Accumulated Instructions,RUN_04,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/mixed_accumulated_instructions/alpha_1_3_0_external_runs/RUN_04/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,mixed_accumulated_instructions,Mixed Accumulated Instructions,RUN_05,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/mixed_accumulated_instructions/alpha_1_3_0_external_runs/RUN_05/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,domain_adapted_all_in_one,Domain Adapted All-in-One,RUN_01,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/domain_adapted_all_in_one/RUN_01/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,domain_adapted_all_in_one,Domain Adapted All-in-One,RUN_02,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/domain_adapted_all_in_one/RUN_02/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,domain_adapted_all_in_one,Domain Adapted All-in-One,RUN_03,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/domain_adapted_all_in_one/RUN_03/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,domain_adapted_all_in_one,Domain Adapted All-in-One,RUN_04,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/domain_adapted_all_in_one/RUN_04/EXECUTOR_EVALUATOR_PROVENANCE.json
TC03-EX02,domain_adapted_all_in_one,Domain Adapted All-in-One,RUN_05,GPT-5.6 Thinking,GPT-5.6 Thinking,different_chat_same_model,True,False,False,user_attested_not_cryptographically_verified,04_runs/domain_adapted_all_in_one/RUN_05/EXECUTOR_EVALUATOR_PROVENANCE.json
